"Station Name
",City
JPMC - GR&C WM Risk Analytics,Bengaluru
JPMC - Software Engineering Program,Hyderabad
JPMC GR&C - CCB Risk - Auto,Bengaluru
JPMC GR&C - CCB Risk - HL - Originations Risk Strategy,Bengaluru
JPMC GR&C - CCB Risk - Loss Forecasting 2,Bengaluru
JPMC GR&C - CCB Risk -Business Banking,Bengaluru
JPMC GR&C - CCB Risk -Cards,Bengaluru
JPMC GR&C - CCB Risk -HL Risk â€“ Data Strategy & Execution,Bengaluru
JPMC- CIB R&A WP - Global Trade & Loan Products,Mumbai
JPMC- GR&C MRGR CCT - Qualitative Modeling,Bengaluru
JPMS (Finance) CIB R&A Markets - Sales and Structuring,Mumbai
JPMS (Finance) CIB R&A Markets - Trading,Mumbai
JPMS (Fintech) CIB R&A Banking (CRG),Mumbai
JPMS (Technology - IT) GR&C Quantitative Research - Fintech,Mumbai
JPMS (Technology-IT) GR&C Model Risk Governance and Review - Ongoing Performance Management,Mumbai
"JPMS - Corporate Risk - Country, Principal and Model Risk Reporting",Bengaluru
JPMS - Corporate Risk - LERR & CTC Liquidity Risk Reporting (Finance),Bengaluru
JPMS - Corporate Risk - LERR & CTC Liquidity Risk Reporting (Tech),Bengaluru
JPMS - GR&C CCB Risk - Loss forecasting 1,Bengaluru
JPMS - GR&C Corporate Risk â€“ Chief Data Office,Bengaluru
JPMS CIB R&A Banking(CRG)-Banking,Mumbai
JPMS CIB R&A Data Science,Mumbai
JPMS CIB R&A Data Science,Bengaluru
JPMS CIB R&A Global Research,Mumbai
JPMS GR&C - CCB Risk - Cards Strategy,Bengaluru
JPMS GR&C - CCB Risk - Cards Strategy,Mumbai
JPMS GR&C AM Risk Analytics â€“ Market Risk,Bengaluru
JPMS GR&C Auto Risk Strategy Analytics,Mumbai
JPMS GR&C CCB Risk - Risk Decision Engines & Third party Services (Data Analytics &Reporting),Mumbai
JPMS GR&C CTC Market Risk,Mumbai
JPMS GR&C CTC Risk - Innovation / Automation,Mumbai
JPMS GR&C CTC Risk - Interest Rate Risk Management,Mumbai
JPMS GR&C CTC Risk - Liquidity Risk - Banking,Mumbai
JPMS GR&C CTC Risk - Liquidity Risk - Markets,Mumbai
JPMS GR&C CTC Risk Credit Risk,Mumbai
JPMS Software Engineering Program,Bengaluru
JPMS Software Engineering Program,Mumbai
Jungleworks,Chandigarh
Juniper Networks,Bengaluru
Kafqa,Bengaluru
Ketto Online Ventures Pvt.Ltd,Mumbai
KitaBeli Pte Ltd,Jakarta
Knowzies Technology Solutions,Pune
Komprise India Pvt. Ltd.,Bengaluru
KPMG,Bengaluru
LAM Research,Bengaluru
Larsen & Toubro Infotech,Powai
Larsen & Toubro Infotech,Bengaluru
Larsen & Toubro Infotech,Pune
Larsen & Toubro Infotech,Chennai
Leapus Technologies Pvt. Ltd (Pyxispm) - Business Development,Bengaluru
Legato Health Technologies,Bengaluru
Lemnisk Pvt. Ltd.,Bengaluru
LetsTransport,Bengaluru
Linarc India Pvt. Ltd.,Chennai
Localbuy Technologies Pvt. Ltd. (SuperK),Kadapa
LOGIQ LABS Pvt Ltd ( eShipz.com ),Bengaluru
Lohum Cleantech Pvt. Ltd (Project 1),Greater Noida
Lohum Cleantech Pvt. Ltd (Project 2),Greater Noida
Loopin HQ,Bengaluru
LS Technologies India LLP,Hyderabad
MAF Technologies Pvt. Ltd. - Non Tech,Mumbai
MAF Technologies Pvt. Ltd. - Tech,Bengaluru
Mailmodo,Bengaluru
Mamaearth ( Honasa Pvt.Ltd.),Gurugram
Markets & Markets,Pune
MatchMove India Pvt Ltd,Bengaluru
MathWorks India Private Limited,Bengaluru
MAVEN WAVE PARTNERS (INDIA) PRIVATE LIMITED,Chandigarh
Maya Robotics (Dotmaya Private Limited),Bengaluru
MBB Labs Private Limited (Maybank),Bengaluru
MediaTek Bangalore Pvt. Ltd.,Bengaluru
MediBuddy - Tech,Bengaluru
MediBuddy -CNon-Tech,Bengaluru
Melio - Tech,Bengaluru
Melio- Non Tech,Bengaluru
Mercedes Benz,Bengaluru
Microchip,Nanakaramguda
Micron Technology India Operations LLP,Hyderabad
Mindzcloud Technologies,Nagpur
Mocxa Health Pvt. Ltd - Tech,Bengaluru
Morgan Stanley - FID Research,Mumbai
Morgan Stanley - Risk Analytics,Mumbai
Morgan Stanley - Strats and Quant,Mumbai
Morgan Stanley Advantage Services,Mumbai
Morning Star - Index New Product Development,Mumbai
Morningstar - Quantitative Research,Mumbai
MSCI (IMR),Mumbai
MSCI (NPD â€“ Index Research),Mumbai
Mtandt Ltd.,Ghaziabad
MVDB Tech Services (OPC) Pvt. Ltd,Pilani
Myntra.com,Bengaluru
NAMEKART.com,Noida
National Chemical Laboratory,Pune
National Council for Cement and Building Materials,Ballabgarh
National Institute of Science and Tech. Dev. Studies (NISTADS),New delhi
National Instruments Systems (India) Pvt. Ltd.,Bengaluru
NBC Bearings,Jaipur
NCR Corporation,Hyderabad
Netcore Solutions,Mumbai
NetSkope Software India Pvt. Ltd.,Bengaluru
Newton School,Bengaluru
Nihon Communication Solutions Pvt. Ltd.,Bengaluru
Nippon Audiotronix Pvt Ltd,Noida
Nirmata Technologies,Bengaluru
Niyo Solutions Inc.,Bengaluru
Nomura - Change Management Team,Mumbai
Nomura - FinTech,Mumbai
Nomura - Wholesale Strategy,Mumbai
Nomura Global Finance,Mumbai
Nomura Global Markets,Mumbai
Nomura Global Risk,Mumbai
Nouveau Labs Pvt Ltd,Bengaluru
Nua (Lagom Labs Pvt Ltd),Mumbai
Nucleus Software Export Ltd,Noida
nurture.farm (A Subisidiary of UPL Ltd.),Bengaluru
Nutanix Technologies India Pvt. Ltd.,Bengaluru
Nvidia - Software,Pune
Nvidia Graphics - Hardware,Bengaluru
Nvidia Graphics - Hardware,Hyderabad
Nvidia Graphics - Software,Hyderabad
Nvidia Graphics -Software,Bengaluru
NXP Semiconductors,Noida
Nymble,Bengaluru
Observe.AI,Bengaluru
"ODE Holdings, Inc",Usa
OfBusiness,Gurugram
Ola Electric,Bengaluru
ON Semiconductors,Bengaluru
OnSolve,Bengaluru
Ontap Direct Pvt. Ltd.,Bengaluru
Openfive - Parent Company Sifive,Bengaluru
Origin Health,Bengaluru
Outleap Technologies,Bengaluru
Pandora R&D Labs Pvt Ltd. ( Project 1),Hyderabad
Pandora R&D Labs Pvt Ltd. ( Project 2),Hyderabad
Parentune.com,Gurugram
PayPal - Analytics,Chennai
PayPal - Analytics,Bengaluru
PayPal - Analytics,Hyderabad
PayPal - Product Manager Interns,Bengaluru
Paypal - Software Engineer Intern,Chennai
Paypal - Software Engineer Intern,Hyderabad
PayPal - Software Engineer Intern,Bengaluru
Payu,Bengaluru
Pegasystems,Hyderabad
PeopleStrong Technologies Pvt. Ltd.,Gurugram
Pepper Content Pvt. Ltd.,Mumbai
Petasense - Services & App Development,Bengaluru
Pfizer Ltd.,Chennai
PharmaACE,Pune
Pilani AtmaNirbhar Resource Center (PARC),Pilani
Piramal Group,Mumbai
"Pitney Bowes India Pvt. Ltd,",Noida
Playment Inc - Non Tech,Bengaluru
Playment Inc - Tech,Bengaluru
Pluss Advanced Technologies Pvt. Ltd.,Gurugram
Porter - Business Analytics,Bengaluru
Porter - Non Tech,Bengaluru
Porter - Tech,Bengaluru
Powerhouse91 (Financial & Business Analyst),Gurugram
PricewaterhouseCoopers (PWC),Gurugram
Procol Tech Pvt. Ltd.,Gurugram
Prodapt,Chennai
Prokens Opesmetrics Private Limited,Bengaluru
ProteanTecs,Bengaluru
"Psi Phi Global Solutions Pvt. Ltd., (OkCredit)",Bengaluru
PsyQuant Research LLP,Bengaluru
Q2e Banking,Bengaluru
Qualcomm India Pvt Ltd- Bangalore,Bengaluru
Qualcomm India Pvt Ltd.,Hyderabad
Quizizz Inc.,Bengaluru
Qure.ai,Mumbai
Qzense labs Pvt. Ltd.,Bengaluru
RACEnergy - Non Tech,Hyderabad
RACEnergy - Tech,Hyderabad
Radisys,Bengaluru
Ramboll India Pvt. Ltd.,Gurugram
Ramco Steels Pvt. Ltd.,Faridabad
Rane Madras Ltd,Chennai
Rane TRW Steering Systems Pvt Ltd.,Guduvanchery
Razorpay - IT,Bengaluru
Razorpay - Non Tech,Bengaluru
Razorpay - Security,Bengaluru
Razorpay - Tech,Bengaluru
Reevoy,Mumbai
Repos Energy India Pvt. Ltd.,Pune
Resilinc,Pune
Resolvity Inc.,Texas
Revos - Software,Bengaluru
Rivigo Tech,Gurugram
Rubenzo lifestyle Private Limited,Gurugram
Rupeek Fintech,Bengaluru
Rupeek Fintech (Non-Tech),Bengaluru
Rupifi Non Tech,Bengaluru
Rupifi Tech,Bengaluru
Samsung R & D Institute - Intelligence,Bengaluru
Samsung R & D Institute - IOT,Bengaluru
Samsung R & D Institute - Modem,Bengaluru
Samsung R & D Institute - Multimedia,Bengaluru
Samsung R & D Institute - Services,Bengaluru
Samsung Semiconductor India R&D Center-Hardware,Bengaluru
Samsung Semiconductor India Research -Software,Bengaluru
Sandvine,Bengaluru
Sawo Labs,Mumbai
Schlumberger,Mumbai/Pune
SCIENAPTIC SYSTEMS PRIVATE LIMITED,Bengaluru
Securework,Bengaluru
SEEKIFY TECHNOLOGIES PVT LTD - Non Tech,Gurugram
SEEKIFY TECHNOLOGIES PVT LTD -Tech,Gurugram
Sekel Technologies Pvt Ltd,Bengaluru
Senso Vision Systems,Bengaluru
Sentieo,New delhi
Shardings Technologies private limited (Capcount),Delhi
Siemens Healthineers,Bengaluru
Sigmoid,Bengaluru
"Silicon Laboratories, Inc.",Hyderabad
SImply Vyapar Apps Pvt Ltd - Non Tech (New),Bengaluru
SImply Vyapar Apps Pvt Ltd - Tech (New),Bengaluru
Singularity Ventures,Mumbai
Siply Services Pvt. Ltd.,Bengaluru
Snapdeal - AI Project,Gurugram
Sproutlife Foods Pvt. Ltd.,Bengaluru
SqM Technologies (New),Pune
SS Supply Chain Solutions,Pune
StateStreet Global Advisors,Bengaluru
Stellar Alpha Global Markets,New delhi
Strand Life Sciences Pvt Ltd,Bengaluru
Sugarbox Networks,Bengaluru
SunTec Business Solutions Pvt. Ltd.,Thiruvananthapuram
Syneos Health,Gurugram
TalentServe - Non Tech,Mumbai
TalentServe - Non Tech,Bengaluru
TalentServe - Tech,Mumbai
TalentServe - Tech,Bengaluru
Tata Digital Health,Bengaluru
Techture Structures Pvt Ltd.,Nagpur
Tega Industries,Kolkata
Tega Industries SEZ Ltd,Dahej
Tejas Networks,Bengaluru
Tekion India Pvt. Ltd.,Bengaluru
Teradata India Pvt. Ltd.,Hyderabad
TeraLumen Solutions Pvt.,Chennai
Texas Instruments (I) Pvt. Ltd - Systems,Bengaluru
Texas Instruments (I) Pvt. Ltd. -Analog,Bengaluru
Texas Instruments (I) Pvt. Ltd. -Digital,Bengaluru
Thornton Tomasetti,Mumbai
Thorogood,Bengaluru
Tibil Computer Solutions Pvt Ltd.,Bengaluru
Time Tooth,Noida
Times Internet Limited,Gurugram
Tomorrow Capital Enterprise Private Limited,Mumbai
TomTom India Pvt. Ltd.,Pune
Toppr,Hyderabad
Trane Technologies,Bengaluru
TravClan,New Delhi
Truboard VT Pvt Ltd,Mumbai
UBER,Hyderabad
UBS - Global Risk,Mumbai
UBS - Group Finance,Mumbai
UBS Business Solutions (India) Private Limited - Group Operations,Pune
Udaan,Bengaluru
Upgrad - Alumni referral Marketing,Mumbai
Upgrad - Career Services,Mumbai
Upgrad - Content Strategy (Data),Mumbai
Upgrad - Content Strategy (Management),Mumbai
Upgrad - Content Strategy (Tech),Mumbai
Uplara,California
Upshot.AI (A Division of [x]cube LABS),Hyderabad
Urban Company,Gurugram
Urjanet - Non-Tech,Chennai
Urjanet - Tech,Chennai
UST Global- Trivandrum,Thiruvananthapuram
Valerio Electric,New delhi
Valorem Stack Pvt. Ltd. (FloBiz),Bengaluru
Viacom18 Media Pvt. Ltd - Corporate Strategy,Mumbai
Viacom18 Media Pvt. Ltd - Digital Ventures,Mumbai
Visit Health Pvt. Ltd - Non Tech,New delhi
Visit Health Pvt. Ltd. -Tech,New delhi
VMware Software India Pvt. Ltd.,Pune
VMware Software India Pvt. Ltd.,Bengaluru
VMware Software India Pvt. Ltd.,Chennai
Vymo,Bengaluru
Walmart Global Technology Services,Bengaluru
Wealthy,Bengaluru
Wellness Kitchen Private Limited,Mumbai
Western Digital (SANDISK),Bengaluru
Whirlpool,Pune
"Women Development &Child Welfare Department,",Hyderabad
Xilinx India Technology Services Pvt. Ltd.,Hyderabad
Yellowpedal Technologies Pvt Ltd,Gurugram
Young Man India,New delhi
Yugabyte,Bengaluru
Zendrive India Pvt Ltd,Bengaluru
Zeotap India Pvt. Ltd.,Bengaluru
Zetwerk Manufacturing Businesses Pvt. Ltd.,Bengaluru
ZF Wabco,Chennai
Zipy Al Private Limited,Pune
Zluri,Singapore
