Station Name,City
Dupont Knowledge Centre,Hyderabad
Dvara E Registry Pvt. Ltd.,Secunderabad
Ecom Express Pvt. Ltd. - Data Science,Gurgaon
Eightfold AI India Pvt Ltd,Noida
Eltropy,Bangalore
Eltropy -Non Tech,Bangalore
Emptycup Innovation Pvt. Ltd. - Non tech,Bangalore
EnSci - A Unit of Weir Minerals India Pvt. Ltd.,Bangalore
Ericsson Global India Pvt. Ltd.,Chennai
Ernst & Young Services Private Limited,Gurgaon
Everwell Health Solution,Bangalore
Express Stores - Business Analytics,Gurgaon
Express Stores - Tech,Gurgaon
Express stores – Nontech,Gurgaon
Fanplay IoT,Bangalore
Fischer Jordan,New York
Flipkart (Software Development),Bangalore
Founding Years Learning Solutions Pvt. Ltd.,Bangalore
Franklin Templeton,Hyderabad
Genpact,Bangalore
GenY medium,Hyderabad
Glocol Networks (IOT and AI),California
Goldman Sachs - Investment Banking,Bangalore
Goldman Sachs India Pvt. Ltd.  - Operations,Bangalore
Goodera,Bangalore
Goodera (NextGen PMS Pvt. Ltd)- Non IT,Bangalore
Goscale Technologies Pvt. Ltd. - Digital Marketing,Bangalore
GoSwift,Bangalore
GoSwift - Nontech,Bangalore
Gradcapital Advisors Pvt. Ltd.,Bangalore
Grasim Industries Ltd.,Nagda
Grasim Polyfiber,Harihar
Grey Orange Robotics Pvt. Ltd.,New delhi
Groww - Business Analyst,Bangalore
Groww - Product,Bangalore
Groww - Software Development,Bangalore
Harness,Bangalore
HCL Technologies - IT,Mumbai
HCL Technologies Ltd (Formerly Geometric Ltd),Mumbai
HDFC ERGO General Insurance Co Ltd,Mumbai
HERE Technologies,Bangalore
HERE Technologies India Pvt. Ltd,Mumbai
Hertztech Solutions Pvt Ltd (HTS) - Engg. content dev.,Chennai
Hertztech Solutions Pvt Ltd (HTS) - Marketing services in Health care,Chennai
Hexanika Pvt Ltd,Pune
"Hindalco Innovation Centre - Semifab, Taloja",Mumbai
Hindustan Unilever Research Centre,Bangalore
Hourglass Research,Mumbai
IDfy (formerly Baldor Technologies Pvt Ltd),Mumbai
iDrive Capital,Bangalore
IMarc Services,Noida
Impactdash,Dehradun
InCore Semiconductors Pvt. Ltd. - Microsemi,Bangalore
InCore Semiconductors Pvt. Ltd. - Microsemi - Micro Processor Design,Bangalore
Indian Institute of Petroleum,Dehradun
Indian Institute Of Remote Sensing,Dehradun
Indian School of Business,Hyderabad
Indira Gandhi Centre for Atomic Research,Kalpakkam
INDmoney,Gurgaon
Infinera,Bangalore
InMobi - Software Development,Bangalore
InMobi- Business Sales,Bangalore
Insights Alpha,Delhi
Integrated Active Monitoring Pvt. Ltd.,Pune
Intel India Technology,Bangalore
ITC,Hyderabad
"IUDX Program Unit, Indian Institute of science - Data Kaveri",Bangalore
John F Welch Technology Center (GE),Bangalore
JPMC - CIB R&A Wholesale Payments,Mumbai
JPMC - Focused Analytics Solutions Team,Bangalore
JPMC - GR&C AM Investment Risk & Market Risk Coverage,Bangalore
JPMC - GR&C CCB Home Lending,Bangalore
JPMC - GR&C CCB Home Lending,Mumbai
JPMC - GR&C CCB Reporty Strategy CoE,Bangalore
JPMC - GR&C CCB Risk Strategy & Execution,Mumbai
JPMC - GR&C Corp Risk - Planning & Analysis,Mumbai
JPMC - GR&C CTC Market Risk Analyst,Mumbai
JPMC - GR&C WCS – Strategy Analytics – Data Science,Mumbai
JPMC - Software Engineering Program,Hyderabad
JPMC GR&C Auto Risk Strategy Analytics,Mumbai
JPMC- CIB R&A WP - Global Trade & Loan Products,Mumbai
JPMC- GR&C MRGR CCT - Qualitative Modeling,Bangalore
JPMS (Finance) CIB R&A  Markets - Sales and Structuring,Mumbai
JPMS (Finance) GR&C Market Risk,Mumbai
JPMS CIB R&A Banking (CRG) - Fintech,Mumbai
JPMS CIB R&A Banking(CRG)-Banking,Mumbai
JPMS CIB R&A Data Science,Mumbai
JPMS CIB R&A Data Science - Fintech,Mumbai
JPMS CIB R&A Global Research,Mumbai
JPMS CIB R&A Markets-Trading,Mumbai
JPMS GR&C AM Risk Analytics – Market Risk,Bangalore
JPMS GR&C Auto Risk Strategy Analytics,Bangalore
JPMS GR&C Cards Risk Strategy Analytics,Bangalore
JPMS GR&C CCB Chase 360 Strategy,Bangalore
JPMS GR&C Corporate Risk - Risk Project Solutions,Bangalore
JPMS GR&C Corporate Risk – Credit Risk Controller,Bangalore
JPMS GR&C Corporate Risk – Firm wide Risk Reporting,Bangalore
JPMS GR&C Corporate Risk Credit Risk Middle Office,Mumbai
JPMS GR&C Credit Forecasting Strategy,Bangalore
JPMS GR&C CTC Credit Risk Analyst,Mumbai
JPMS GR&C Quantitative Research – Fintech,Mumbai
JPMS GR&C WCS - Credit Portfolio Analytics,Mumbai
JPMS GR&C WCS Process Strategy,Mumbai
JPMS Software Engineering Program,Bangalore
JPMS Software Engineering Program,Mumbai
Jubilant FoodWorks Ltd.,Noida
Juniper Networks,Bangalore
Kickdrum Technologies India Pvt. Ltd.,Bangalore
KitaBeli Pte Ltd,Jakarta
Komprise India Pvt. Ltd.,Bangalore
KPMG,Gurgaon
Kredx,Bangalore
Krishi Network (Cultino Agrotech Pvt. Ltd.),Gurgaon
Leapus Technologies Pvt. Ltd (Pyxispm) - Business Development,Bangalore
Leapus Technologies Pvt. Ltd (Pyxispm) - Mathematical research,Bangalore
Leapus Technologies Pvt. Ltd (Pyxispm) - Tech,Bangalore
Linarc India Pvt. Ltd.,Chennai
Lowe Services India Pvt.Ltd,Bangalore
MAF Technologies Pvt. Ltd. - Non Tech,Bangalore
MAF Technologies Pvt. Ltd. - Tech,Bangalore
MapMyIndia - Sales,New delhi
MapmyIndia (CE Info Systems Pvt Ltd),New delhi
MBB Labs Pvt. Ltd.,Bangalore
Melio - Tech,Bangalore
Melio- Non Tech,Bangalore
Mercedes Benz,Bangalore
Mindshire Consulting,Hyderabad
Mishra Dhatu Nigam Limited,Kanchanbagh
Mocxa Health Pvt. Ltd - Tech,Bangalore
Mocxa Health Pvt. Ltd. - Non Tech,Bangalore
Molde Analytics India Pvt. Ltd.,Hyderabad
Morgan Stanley Advantage Services,Mumbai
Morning Star - Client Services and Implementation,Mumbai
Morning Star - Index Management and Analytics,Mumbai
Morning Star - Index New Product Development,Mumbai
Morningstar - Index Technology,Mumbai
MoveInSync Technology Solutions,Bangalore
MVDB Tech Services (OPC) Pvt. Ltd,Pilani
National Chemical Laboratory,Pune
National Council for Cement and Building Materials,Ballabgarh
National Council of Applied Economic Research,New delhi
National Instruments Systems (India) Pvt. Ltd.,Bangalore
NetApp,Bangalore
Niyo Solutions Non Tech,Bangalore
Nomura - Change Management Team,Mumbai
Nomura - FinTech,Mumbai
Nomura - Wholesale Strategy,Mumbai
Nomura Global Finance,Mumbai
Nomura Global Markets,Mumbai
Nomura Global Risk,Mumbai
Nouveau Labs Pvt Ltd,Bangalore
Novartis Healthcare Pvt. Ltd.,Hyderabad
Nua (Lagom Labs Pvt Ltd),Mumbai
Nucleus Software Export Ltd,Noida
nurture.farm (A Subisidiary of UPL Ltd.),Bangalore
Nutanix Technologies India Pvt. Ltd.,Bangalore
Nvidia Graphics - Hardware,Bangalore
Nvidia Graphics -Software,Bangalore
OfBusiness,Gurgaon
One97 Communications (Paytm),Noida
OroPocket,Delhi
Oyla Inc,California
Parkinnov Funtech Pvt Ltd,Bangalore
PAYPAL,Bangalore
PayPal - Analytics,Chennai
Pepper Content Pvt. Ltd.,Mumbai
Petasense - Services & App Development,Bangalore
Pilani AtmaNirbhar Resource Centre (PARC),Pilani
Piramal Group,Mumbai
Pluss Advanced Technologies Pvt. Ltd.,Gurgaon
Powerhouse 91 - Content Strategy,Gurgaon
Powerhouse91 (Financial & Business Analyst),Gurgaon
"Praj Industries Ltd.,",Pune
PricewaterhouseCoopers (PWC),Gurgaon
Process Nine Technologies Pvt  Ltd,Gurgaon
Procol Tech Pvt. Ltd.,Gurgaon
ProteanTecs,Bangalore
"Psi Phi Global Solutions Pvt. Ltd., (OkCredit)",Bangalore
PwC MC-Analytics,Mumbai
Quinn Care Pvt. Ltd,Surat
Qure.ai,Mumbai
Qzense labs Pvt. Ltd.,Bangalore
Rakuten Inc,Bangalore
RDandX Network LLP,Mumbai
Receivables Exchange of India Limited,Mumbai
ReferralYogi Technologies Pvt. Ltd.,Chennai
Reflexis Systems India Pvt Ltd.,Pune
Reild Residential Properties Pvt. Ltd (Tech) - Asset Monk,Hyderabad
Resolvity Inc.,Texas
REYNLAB Technologies India Pvt. Ltd.,Chennai
Rivigo Tech,Gurgaon
Rupeek Fintech,Bangalore
Rupeek Fintech (Non-Tech),Bangalore
Rupifi Non Tech,Bangalore
Rupifi Tech,Bangalore
Samsung R & D Institute,Bangalore
Samsung Semiconductor India R&D Center-Hardware,Bangalore
Samsung Semiconductor India Research -Software,Bangalore
Sankhya Sutra Labs,Bangalore
Saras Analytics - Nontech,Hyderabad
Saras Analytics - Tech,Hyderabad
Sattva Media & Consulting Pvt Ltd,Bangalore
Saveo Healthtech Pvt. Ltd,Bangalore
Saveo Healthtech Pvt. Ltd - Non Tech,Bangalore
SCIENAPTIC SYSTEMS PRIVATE  LIMITED,Bangalore
SEDEMAC Mechatornics Pvt. Ltd.,Pune
ShortHills Tech Pvt. Ltd,Gurgaon
SiA Digital Consultancy India Pvt. Ltd.,New Delhi
Siemens Healthineers,Bangalore
Siemens PLM Software,Pune
Siply Services Pvt. Ltd.,Bangalore
Smartchain Technologies Pvt. Ltd.,Gurgaon
SmartHelio Sarl.,NOIDA
Snap Deal,Gurgaon
Snap deal - AI Project,Gurgaon
Society for Health Information Systems Programme,Noida
Splashstar Technologies Pvt. Ltd. (FrontRow),Bangalore
Sproutlife Foods Pvt. Ltd.,Bangalore
Statwig Technology Services Pvt. Ltd.,Hyderabad
Sun Mobility,Bangalore
Super Auto Forge,Chennai
Supertails-Petfully Yours Private Limited,Bangalore
Swastik Classes Pvt. Ltd.,New delhi
Synaptic,Gurgaon
Synchrony,Hyderabad
Synergiz Global Services Pvt. Ltd.,Hyderabad
Tata Autocomp Systems Ltd.,Pune
TATA Communications Ltd,Chennai
Techture Structures,Indore
Techture Structures Pvt Ltd.,Nagpur
Texas Instruments (I) Pvt. Ltd. -Analog,Bangalore
Texas Instruments (I) Pvt. Ltd. -Digital,Bangalore
Texmaco Rail & Engineering Ltd.,Kolkata
Tibil Computer Solutions Pvt Ltd.,Bangalore
Time Tooth,Noida
Titan Industries Ltd.,Hosur
TomTom India Pvt. Ltd.,Pune
Total Environment Building Systems Private Limited,Bangalore
Trell Experiences Pvt Ltd,Bangalore
Trifacta Inc,Bangalore
Turvo,Hyderabad
UBER,Hyderabad
UBS - Group Finance,Pune
UBS - Group Finance,Mumbai
UBS - Group RISK,Mumbai
UBS Business Solutions (India) Private Limited - Group Operations,Pune
Udaan,Bangalore
Urban Ladder Home décor Solutions Pvt. Ltd.,Bangalore
UST Global -,Hyderabad
UST Global- Chennai,Chennai
UST Global- Trivandrum,Trivandrum
VenueMonk,Gurgaon
Versa Cloud ERP Inc - Non Tech,Portland
Versa Cloud ERP Inc - Tech,Portland
Verzeo Edutech Pvt Ltd -nontech,Bangalore
Verzeo Edutech Pvt Ltd -Tech,Bangalore
Viacom 18 Media Pvt. Ltd. - Digital Ventures,Bangalore
Viacom18 Media Pvt. Ltd - Corporate Strategy,Mumbai
VMware Software India Pvt. Ltd.,Bangalore
William O Neil India Pvt Ltd - Equity Research Documentations,Bangalore
William O Neil India Pvt Ltd - Non Tech,Bangalore
"William O Neil India Pvt Ltd.,",Bangalore
"William O Neil India Pvt Ltd., - Tech",Bangalore
Windscon Tech Pvt. Ltd. - Growth,Mumbai
Windscon Tech Pvt. Ltd. - Marketing & Design,Mumbai
Wingman,Bangalore
"Women Development &Child Welfare Department,",Hyderabad
Worley Parsons India,Mumbai
Worley Parsons India,Hyderabad
Xilinx India Technology Services Pvt. Ltd.,Hyderabad
Yugabyte,Bangalore
Yugabyte,Pune
Zendrive India Pvt Ltd,Bangalore
Zeotap India Pvt. Ltd.,Bangalore
Zeta (Directi),Bangalore
Zetwerk Manufacturing Businesses Pvt. Ltd.,Mumbai
Zetwerk Manufacturing Businesses Pvt. Ltd.,Bangalore
Zetwerk Manufacturing Businesses Pvt. Ltd.,Coimbatore
Zetwerk Manufacturing Businesses Pvt. Ltd.,Delhi
ZILLSKILL Technologies Pvt. Ltd.,Bangalore
Zinnov Management Consulting Pvt. Ltd (IT Project),Bangalore
"Zinnov Management Consulting Pvt. Ltd., (Non-Tech)",Bangalore
"Zinnov Management Consulting Pvt. Ltd., (Non-Tech)",Gurgaon
Zluri,Singapore
