Station ID,Company Name,Location,Industry Domain,Preferred Branches,Stipend (UG),Stipend (PG),Facilities (Raw),Projects,Have Accommodation?
6337,Ai Palette,Bengaluru ,Finance and Mgmt,Any,25000,0,Unavailable,,No
6288,AiDash System India Private  Limited,Bengaluru ,IT,Any,110000,0,Unavailable,,No
6456,Airmeet - Account Management Analysis,Bengaluru,Finance and Mgmt,Any,35000,35000,Unavailable,,No
6452,Airmeet - Business Analysis &Strategy,Bengaluru,Finance and Mgmt,Any,35000,35000,Unavailable,,No
6454,Airmeet - Business Development,Bengaluru,Finance and Mgmt,Any,35000,35000,Unavailable,,No
6453,Airmeet - Data Analytics,Bengaluru,Finance and Mgmt,Any,35000,35000,Unavailable,,No
6455,Airmeet - Sales Enablement and Product Marketing,Bengaluru,Finance and Mgmt,Any,35000,35000,Unavailable,,No
3617,AlmaConnect,Gurugram,Finance and Mgmt,Any,15000,0,"StationFacilitiesId: 9680
ContactDetailsForGirls: 
AccomAddressforBoys: 
StartTime:  9:00AM
Weekdays: Sunday
StationAddress: 270,Garage Society udyog Vihar, Phase 1- Gurgaon -122016
Status: Active
Accomodation: -
FieldTA: -
Stationary: -
Travel: -
FieldDA: -
Medical: -
Stipend: 15000
FacultyId: 951
RemarkforAccommodation: 
AccomAddressforGirls: 
CompanyId: 3334
ToOffice: -
SubsidizedLunch: -
OtherInfo: Rs. 15k stipend
StipendForPG: 0
ContactDetailsForBoys: 
TillTime:  5:00PM
OnOffice: -
","Project: 0
Title: Operations Management, Business Development and Marketing
Description: Operations Management, Business Development and Marketing
Skills:  - 
Students Required: 5
Min CGPA: 0
Max CGPA: 0

",No
6356,AM PROTOTYPING LABS PVT LTD,Mumbai,Electronics  ,"A3 , A8 , AA , AnyA3 , B4A7 , AnyA8 , AnyAA",30000,0,Unavailable,,No
4036,Amazon - Machine Learning,Hyderabad,IT,"A3 , A7 , H103 , AnyA3 , AnyA7",90000,90000,"Stationary: -
Weekdays: 
FacultyId: 0
RemarkforAccommodation: 
CompanyId: 3750
Medical: -
FieldTA: -
TillTime:  5:00PM
SubsidizedLunch: -
Travel: -
StationAddress: Amazon - Machine Learning, Hyderabad
OtherInfo: -
ContactDetailsForBoys: 
AccomAddressforBoys: 
Status: Active
Accomodation: -
FieldDA: -
StartTime:  9:00AM
OnOffice: -
ToOffice: -
StationFacilitiesId: 9492
Stipend: 60000
StipendForPG: 0
ContactDetailsForGirls: 
AccomAddressforGirls: 
","Project: 0
Title: -
Description: Ability to relate to and solve business problems through machine learning, data mining,statistical algorithms and data analytics techniques
Skills with Java, C++, or other programming language, as well as with R, MATLAB, Python orsimilar scripting language
Experience in understanding and ability to implement algorithms in Machine Learning to work onrecommendation systems using both toolkits and self-developed code

Design, develop and evaluate highly innovative models for predictive learning
Establish scalable, efficient, automated processes for large scale data analyses modeldevelopment, model validation and model implementation
Research and implement novel machine learning and statistical approaches
Skills:  - 
Students Required: 4
Min CGPA: 0
Max CGPA: 0

",No
337,Amazon Development Center,Hyderabad,IT,"A3 , A7 , A8 , AA , H103 , H112",80000,80000,Unavailable,,No
338,Amazon Development Center,Chennai,IT,"A3 , A7 , A8 , AA , H103 , H112",80000,80000,Unavailable,,No
339,Amazon Development Center,Bengaluru,IT,"A3 , A7 , A8 , AA , H103 , H112",80000,80000,Unavailable,,No
1068,Amazon Development Center,New delhi,IT,"A3 , A7 , A8 , AA , H103 , H112",80000,80000,Unavailable,,No
6385,Amazon Development Center,Mumbai,IT,"A3 , A7 , A8 , AA , H103 , H112",80000,80000,Unavailable,,No
6300,American Express - AI Lab,Bengaluru ,IT,A7,125000,0,Unavailable,,No
6096,American Express - AI Labs,Gurugram,IT,"A3 , A7 , A8 , AA , AnyA3 , AnyA7 , AnyA8 , AnyAA",125000,0,"Accomodation: Students to make their own arrangements
Medical: -
StationAddress: Gurgaon 
AccomAddressforBoys: 
CompanyId: 5797
StartTime:  9:00AM
Stationary: -
SubsidizedLunch: -
Status: Active
OnOffice: -
FieldTA: -
AccomAddressforGirls: 
ToOffice: -
Weekdays: 
OtherInfo: -
Stipend: 100000
StipendForPG: 0
ContactDetailsForGirls: 
ContactDetailsForBoys: 
TillTime:  5:00PM
FieldDA: -
Travel: -
StationFacilitiesId: 9644
FacultyId: 0
RemarkforAccommodation: 
","Project: 0
Title: Deploy End-to End ML/AI Workflow: From Notebook to Kubeflow pipelines
Description: Ai Labs MLops capability powers production AI applications with best in class ML/AI workflows. It’s a central platform to build, deploy, monitor, manage, and govern all models in production.
Goal of this project is enable simple, portable, and scalable deployments of machine learning (ML) workflows on Kubernetes based environment. Expose services to deploy best-of-breed OS systems for ML to diverse infrastructures (On-prem/Cloud)
* Any other requirements : Optional but beneficial prerequisites:
Experience in building APIs, participation in UI/ UX projects or similar experience is helpful
* Expected learning : Platform architecture, understanding of BigData applications in real world scenarios*Other soft skill :Good Verbal/Written Comm
Skills: AI and ML , Algorithms , Big Data Architecture , Pyspark
Students Required: 1
Min CGPA: 0
Max CGPA: 0

Project: 1
Title: Building scalable AI solutions
Description: American Express is a data driven organization where impactful decisions regarding our clients are driven by machine learning models. The project focuses on deriving insights from diverse large-scale datasets to drive critical decisions and customer interactions using machine learning methods and systems. Research areas includes natural language understanding, decision optimization and representation learning *Other soft skill :Good Verbal/Written Comm* Any other requirements: Optional but beneficial prerequisites:
Courses done on NLP / ML / DL / AI / Algorithms will be helpful
Prior experience with ML and DL models and solving problems using data
Expected learning : AI/ML prototype development, understanding applicability of Trusted AI techniques to finance domain use-cases 
Skills: Machine Learning, Deep Learning , Natural Language Processing , Phython
Students Required: 1
Min CGPA: 0
Max CGPA: 0

Project: 2
Title: Next-Gen Document AI Solutions for Driving Efficiencies in Financial Business Processes
Description: This project will apply state-of-the-art OCR, information extraction, machine learning and deep learning methods that accelerate processing of variety of documents. The idea is to build AI assistive capabilities that can augment human capacity*Other soft skill :Good Verbal/Written Comm* Expected learning : AI/ML prototype development, Use of ML/DL in document processing, Use cases of Document AI in financial services 
Skills: DL , ML , Python
Students Required: 1
Min CGPA: 0
Max CGPA: 0

Project: 3
Title: Third-party ML products benchmarking
Description: As Cloud technologies are becoming more instrumental in enabling large scale analytics and Machine Learning, there is a growing number of companies which have developed products intended to solve needs for ML in the Cloud.  The aim of this project is to perform a comprehensive analysis of such products and provide recommendations on how they can help Amex overcome some of the challenges they have today with respect to Modeling activities.* Other soft skill : Good Verbal/Written Comm* Good Verbal/Written Comm: Optional but beneficial prerequisites:
Courses done on NLP / ML / DL / AI / Algorithms will be helpful
Prior experience with ML and DL models Participation in relevant research competitions 
* Expected learning : AI/ML prototype development, understanding applicability of Trusted AI techniques to finance domain use-cases 
Skills: DL , ML , Python
Students Required: 1
Min CGPA: 0
Max CGPA: 0

Project: 4
Title: Intuitive and accurate explanations for AI models
Description: Many of the AI models developed in recent years are very complex involving a lot of tunable parameters. These models are more accurate but cannot provide any intuitive explanations on how it works. There is a need to develop models and algorithms to make the predictions made by these models interpretable yet faithful to the original complex model. This project would involve developing models and algorithms that provide intuitive interpretations for the predictions made by the complex model.*Expected learning :Use of algorithms / ML / optimization in Finance, hands-on programming experience in ML*Other soft skill :Good Verbal/Written Comm
Skills: AI and ML , Python , Statistics
Students Required: 1
Min CGPA: 0
Max CGPA: 0

Project: 5
Title: AI Labs - Feature Store
Description: AI Labs MLops capability powers production AI applications with best in class ML/AI workflows. It’s a central platform to build, deploy, monitor, manage, and govern all models in production.
Goal of this project is to develop a feature store which 
-	defines the data collection and transformations for both batch and real-time scenarios
-	processes features automatically without manual involvement
-	serves the features from a shared catalog for ML training, serving, and data governance applications
-	has capability to onboard data models with appropriate metadata information
Feature store has to extend beyond traditional analytics and enable advanced transformations on unstructured data and complex layouts.
*Any other requirements: Optional but beneficial prerequisites:
Experience in building APIs, participation in UI/ UX projects or similar experience is helpful
* Expected learning : Platform architecture, understanding of BigData applications in real world scenarios
Skills: AI and ML , Algorithms , Big Data Architecture , Pyspark , Spark
Students Required: 1
Min CGPA: 0
Max CGPA: 0

Project: 6
Title: Building Trust in AI solutions for Unstructured Data 
Description: AI solutions are ubiquitous. Gauging trustworthiness of these solutions is challenging, more so for unstructured data models. This project will explore various Trusted AI solutions (open / licenses / in-house), their applicability to existing Amex unstructured data models, and build toolkits to support our first-line and second-line modelers. * Other soft skill  : Good Verbal/Written Comm* Any other requirements:Optional but beneficial prerequisites:
Courses done on NLP / ML / DL / AI / Algorithms will be helpful
Prior experience with ML and DL models Participation in relevant research competitions 
*Expected learning :AI/ML prototype development, understanding applicability of Trusted AI techniques to finance domain use-cases 
Skills: DL , ML , Python
Students Required: 1
Min CGPA: 0
Max CGPA: 0

",No
4100,American Express - Credit & Fraud Risk (Capabilities),Gurugram,IT,"A3 , A8 , AA , AnyA3 , AnyA8 , AnyAA",125000,0,"StationFacilitiesId: 9645
FacultyId: 0
AccomAddressforBoys: 
Accomodation: Students to make their own arrangements
FieldDA: -
Medical: -
StationAddress: 
CompanyId: 3814
StartTime:  9:00AM
Travel: -
Weekdays: 
StipendForPG: 0
RemarkforAccommodation: 
AccomAddressforGirls: 
TillTime:  5:00PM
OnOffice: -
SubsidizedLunch: -
OtherInfo: -
Stipend: 100000
ContactDetailsForBoys: 
ContactDetailsForGirls: 
Status: Active
ToOffice: -
FieldTA: -
Stationary: -
","Project: 0
Title: Automated capability to calculate variables offline for historical vintages
Description: Set up an automated capability to create variables offline using data in hive tables by leveraging the existing Java codes. These offline variables would help us in creating modeling data, performing user acceptance testing (UAT) for data ingested in hive tables & post implementation validation (PIV).
Skills: HIVE , Pyspark , Python , Good Communication Skills
Students Required: 1
Min CGPA: 0
Max CGPA: 0

Project: 1
Title: Rationalization of accums in Credit Authorization System (CAS)
Description: Amex is in a transformation stage and modernizing the key risk platforms. As part of Authorization Modernization Program, one of the objectives is to rationalize the usage of data in Credit Authorization System. Accums are one of the most compute intensive processes in CAS and consumes significant portion of CAS processing capacity and storage. As part of rationalization of accums in CAS, below activities are involved:

1)	Perform detailed analysis of existing accums and identify the redundant accums
2)	Platform rationalization by following the data engineering principles 
3)	Partner with Decision science and strategy teams and understand what is really required to be retained in POA 
4)	Variable implementation in RDM 
* Other soft skill  :Analytical mindset, Strong aptitude and reasoning, Good communication skills. * Expected learning : •	Develop understanding of various risk business journeys and their data needs are met through various systems
•	Learn Project Management skills collaborating with multiple team members and stakeholders
•	Enhance technical skills by working on Hive, Python, ML Studio etc.

Skills: Big Data , Environmental , HIVE , Python , SQl 
Students Required: 1
Min CGPA: 0
Max CGPA: 0

Project: 2
Title: Dynamic macro scenarios-based Credit Risk Assessment
Description: Consolidated Big Data Product for Regulatory and compliance models execution on n number of macro-economic situations for financial disclosures* Expected learning  :1.	Pyspark product development
2.	Large volume of data processing 
3.	Credit Risk assessment 
* Other soft skill :Candid communication
* Any specific courses  : Data Analytics, Big Data

Skills: HIVE , Pyspark , Python
Students Required: 1
Min CGPA: 0
Max CGPA: 0

Project: 3
Title: Global Accounts Monitor (GAM) consolidation in Risk Data Management (RDM)
Description: Amex is in a transformation stage and modernizing the key risk platforms. As part of Authorization Modernization Program, one of the objectives is to rationalize the usage of data in Credit Authorization System. Global Accounts Monitor (GAM) is used to get external data from Bureaus which helps in support of credit decisioning and analytics. As part of GAM consolidation in RDM, below activities are involved:

1)	Analyze the existing variables logic 
2)	Perform the data distribution analysis across markets 
3)	Partner with Decision science teams to understand the POA logic and build the logic using data at different levels
4)	Create the variable requirements to be implemented in RDM
5)	Variable implementation in RDM 
* Other soft skill  : Analytical mindset, Strong aptitude and reasoning, Good communication skills
* Expected learning  :•	Develop understanding of various risk business journeys and their data needs are met through various systems
•	Learn Project Management skills collaborating with multiple team members and stakeholders
•	Enhance technical skills by working on Hive, Python, ML Studio etc.

Skills: Big Data , Environmental , HIVE , Python , SQl 
Students Required: 1
Min CGPA: 0
Max CGPA: 0

Project: 4
Title: RDM Indexing Portal 
Description: Classification of ODL variables (Consumer, Commercial and Fraud) into basic dimensions like Financials, Bureau, etc. Create a portal to display the information along with variable lineage/logic evolution and reason for logic change, etc.* Expected learning  :•	Develop Data and Business understanding
•	Learn Project Management skills collaborating with multiple team members
•	Enhance technical skills by working on Hive, ML Studio, etc.* Other soft  : Analytical mindset

Skills: Big Data , Environmental , HIVE , SQl 
Students Required: 1
Min CGPA: 0
Max CGPA: 0

Project: 5
Title: Let’s R.E.A.D. (Risk Ensued Attributes Dashboard)
Description: Development of a dashboard depicting following metrics for Amex Risk derived data layers:
1)	Volumes at various data grains 
2)	Delta change in attribute values 
3)	Key risk use-cases being served
4)	Attribute implementation details 
* Other soft skill :Analytical mindset, Strong aptitude and reasoning, Good communication skills. * Expected learning  : •	Develop understanding of various risk business journeys and their data needs are met through various systems
•	Learn Project Management skills collaborating with multiple team members and stakeholders
•	Enhance technical skills by working on Hive, ML Studio, Web Dashboard designing etc

Skills: Big Data , Environmental , HIVE , ML , SQl  , website coding language
Students Required: 1
Min CGPA: 0
Max CGPA: 0

",No
4101,American Express - Credit & Fraud Risk (Capabilities),Bengaluru,IT,"A3 , A8 , AA",125000,0,Unavailable,,No
6303,American Express - Customer Servicing Management (Project 1),Gurugram ,IT,"A3 , A8 , AA",125000,0,Unavailable,,No
6304,American Express - Customer Servicing Management (Project 2),Gurugram,IT,A7,125000,0,Unavailable,,No
5142,ANS Commerce - Business Growth & Product,Gurugram,Finance and Mgmt,Any,8000,0,"StipendForPG: 0
RemarkforAccommodation: 
ContactDetailsForBoys: 
TillTime:  5:00PM
Status: Active
ToOffice: -
Medical: -
StationFacilitiesId: 9602
OtherInfo: 8k
FacultyId: 722
OnOffice: -
FieldDA: -
Travel: -
Stipend: 8000
AccomAddressforBoys: 
AccomAddressforGirls: 
CompanyId: 4845
StartTime:  9:00AM
Accomodation: -
FieldTA: -
Stationary: -
ContactDetailsForGirls: 
Weekdays: 
SubsidizedLunch: -
StationAddress: ANS Business Growth, Gurgaon
","Project: 0
Title: Business development
Description: 1. Business-I Description: Interns will be interacting with leading brands across sectors, analyzing data, and suggesting process improvement. 
Skill Set: Basic knowledge of excel, good comm skills

2. Business-II :Description: Interns will be interacting with leading brands across sectors, analyzing data, and suggesting process improvement. 
Proficient in MS Office (Excel and Powerpoint. Eager to learn. MS Office, Good Comm skills
Skillset: MS Office, Good Comm skills

3. Business planning & Sales ops role- Market research, CRM analysis, Sales/Presales Process- Documentation, Excels, Linkedin, Automation tools - EMAIL, share knowledge and crate analysis
Skill set :Excel, Word, Powerpoint for sure, Analytics ability, Online research, Aggressive- learning mentality
Skills: Excel
Students Required: 7
Min CGPA: 0
Max CGPA: 0

Project: 1
Title: Marketing
Description: Communication, Reasoning & Quantitative, Basic understanding of tool: Google Analytics, Facebook
Bussiness, Google Adwords is plus.
Skills:  - 
Students Required: 4
Min CGPA: 0
Max CGPA: 0

",No
4982,ANS Commerce - Non tech,Gurugram,Finance and Mgmt,Any,8000,0,"FieldDA: -
FieldTA: -
StationFacilitiesId: 9679
StipendForPG: 0
StartTime:  9:00AM
Status: Active
OnOffice: -
ToOffice: -
StationAddress: Tower B, 3rd Floor, Unitech Cyber Park, Sector 39, Gurugram, Haryana 122003
Medical: -
SubsidizedLunch: -
Stipend: 8000
FacultyId: 722
RemarkforAccommodation: 
ContactDetailsForBoys: 
AccomAddressforGirls: 
TillTime:  5:00PM
Travel: -
Stationary: -
OtherInfo: ...
ContactDetailsForGirls: 
AccomAddressforBoys: 
CompanyId: 4684
Accomodation: -
Weekdays: 
","Project: 0
Title: Marketing (6)+ Analytics (2)
Description: 1. Marketing-(4 nos): Skillset: Communication, Reasoning & Quantitative, Basic understanding of tool: Google Analytics, Facebook Bussiness, Google Adwords is plus.......................... 

2. Marketing- (2 nos): Interns will be building high-quality backlinks, Quora Answering, Profile Creation, Business Listings, Find Backlink Opportunities with Competitors Backlinks The study, Content Sharing, Social Bookmarking, 
Skillset Required: Analytical Skills, Functional knowledge of Excel, Basic knowledge of PowerPoint, Strong communication, Ability to learn and give suggestions................

3. Analytics (2 nos)- Description: Interns will be interacting with the leading brands across sectors, analyzing data, and suggesting process improvement.
Skillset Required: Data-Driven, Functional knowledge of Excel, Basic knowledge of Powerpoint, Strong communication, Analytical knowledge, knowledge of SQL/analytical language (Python, R) 
Skills:  - 
Students Required: 8
Min CGPA: 0
Max CGPA: 0

",No
4981,ANS Commerce - Tech,Gurugram,Finance and Mgmt,Any,10000,0,"Travel: -
StipendForPG: 0
ContactDetailsForGirls: 
Medical: -
TillTime:  5:00PM
FieldDA: -
StationAddress: Tower B, 3rd Floor, Unitech Cyber Park, Sector 39, Gurugram, Haryana 122003
StationFacilitiesId: 9609
FacultyId: 0
AccomAddressforBoys: 
StartTime:  9:00AM
Status: Active
OnOffice: -
FieldTA: -
SubsidizedLunch: -
Stipend: 10000
RemarkforAccommodation: 
ContactDetailsForBoys: 
ToOffice: -
Stationary: -
Weekdays: 
OtherInfo: -
AccomAddressforGirls: 
CompanyId: 4683
Accomodation: -
","Project: 0
Title: Tech
Description: Intern will be working on building on e-commerce tools, order management system, marketplaces
intelligence, inventory, and warehousing management.
Skillset required: Functional knowledge of coding (any language) and data structure, knowledge of React, PHP,
Nodejs, Ruby on Rails would be preferred.
Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

",No
6462,ApexPlus Technologies,Hyderabad ,Electronics  ,"A3 , A7 , A8 , AA",40000,0,Unavailable,,No
3255,Apple India Pvt Limited,Hyderabad,IT,"A3 , A7 , A8 , AA , H103 , H112 , H123 , H124 , H140",90000,90000,"Stipend: 65000
Stationary: -
StationAddress: Apple, Hyderabad
OtherInfo: -
FieldDA: -
Medical: -
Weekdays: 
StipendForPG: 0
ContactDetailsForBoys: 
TillTime:  5:00PM
Status: Active
ToOffice: -
FieldTA: -
SubsidizedLunch: -
Travel: -
FacultyId: 0
RemarkforAccommodation: 
AccomAddressforBoys: 
AccomAddressforGirls: 
CompanyId: 2976
StationFacilitiesId: 9493
ContactDetailsForGirls: 
StartTime:  9:00AM
Accomodation: -
OnOffice: -
","Project: 0
Title: -
Description: -
Skills:  - 
Students Required: 10
Min CGPA: 0
Max CGPA: 0

",No
6358,Aptiv Components India Private Limited ( Delphi Automotive Systems Private Limited),Bengaluru ,Mechanical,"H103 , H112 , H123 , H124 , H140",0,25000,Unavailable,,No
6290,Arista Networks India Private Limited,Bengaluru ,IT,"A3 , A7 , A8 , AA , C6",65000,0,Unavailable,,No
5093,Arm Soft Technologies,Chennai,IT,"A1 , A2 , A3 , A4 , A7 , A8 , AA",15000,0,"StipendForPG: 0
AccomAddressforGirls: 
CompanyId: 4796
ToOffice: -
Stationary: -
StationAddress: 
OtherInfo: -
ContactDetailsForBoys: 
AccomAddressforBoys: 
TillTime:  5:00PM
Accomodation: -
FieldDA: -
SubsidizedLunch: -
RemarkforAccommodation: 
StartTime:  9:00AM
Status: Active
Travel: -
FieldTA: -
Weekdays: Sunday
StationFacilitiesId: 9783
Stipend: 15000
FacultyId: 855
ContactDetailsForGirls: 
OnOffice: -
Medical: -
","Project: 0
Title: Voice Activity Detection-Improving the  AI Based Voice Process system
Description: Audio files of Human Speech are available. The project would involve analyzing and breaking the speech files on specific words using Deep Learning and Natural Language Process Skills Requried: Machine Learning, Deep Learning, Python, Computer vision,NLP
Resilient to
background voice
noise and silent
detection
Deep learning, basics
of speech processing
Skills: AI and ML , Deep Learning , Python ,  Problem Solver, Self-starter  , Ability to learn and adapt
Students Required: 2
Min CGPA: 0
Max CGPA: 0

",No
3546,Arup India Pvt. Ltd.,Hyderabad,Infrastructure,-,0,0,Unavailable,,No
6109,Asanify Technologies Pvt Ltd-Business Development,Kolkata,Finance and Mgmt,Any,15000,0,"StartTime:  9:00AM
Status: Active
OnOffice: -
ToOffice: -
Stationary: -
Travel: -
StationFacilitiesId: 9719
ContactDetailsForBoys: 
ContactDetailsForGirls: 
Accomodation: Students to make their own arrangements
FieldDA: -
OtherInfo: -
RemarkforAccommodation: 
AccomAddressforGirls: 
CompanyId: 5810
TillTime:  5:00PM
FieldTA: -
SubsidizedLunch: -
StationAddress: 26b, Prince Bakhtiar Shah Rd, Badam Talla,
Tollygunge, Kolkata, West Bengal 700033
Stipend: 15000
FacultyId: 0
StipendForPG: 0
AccomAddressforBoys: 
Medical: -
Weekdays: Sunday
","Project: 0
Title: Business Development and Pre-Sales
Description: 1. Driving our revenue growth through outreach emails
and phone calls, with a focus on setting demo
appointments
2. Researching prospect contact information and best
ways to get in touch with them
3. Nurturing and qualifying new leads that turn into
quality demo appointments
4. Working on prospecting, pipeline-building, and
opportunity identification
5. Identifying innovative ways of creating a target list of prospective customers
6. Provide customer insight - provide detailed insights
and background about each prospect that we speak
with from publicly available sources.*Other soft: Strong Communication skills, Negotiation skills,
Strong achievements in extra curriculars and team
sports (leadership experience preferred)*Expected learning: SaaS (Software as a Service) is one of the hottest and
fastest growing industries. You&apos;ll learn the ins and outs
of growing a SaaS business. As a core member of the
sales/marketing team, you&apos;ll be learning to manage all
of our inbound and outbound lead generations. This
includes prospecting, nurturing, and most important of
all, selling. You&apos;ll work closely with the marketing team
to help manage lead lists, re-market campaigns, and more. Skill Req: Strong knowledge of Excel, (optional prior
experience in Sales/ BD tools for finding emails such
as Hunter.io, web scraping tools e.g. Octoparse, etc.)
Skills: DB , Excel
Students Required: 2
Min CGPA: 0
Max CGPA: 0

",No
6192,Asanify Technologies Pvt. Ltd. -Marketing Operations and Growth,Kolkata,IT,Any,20000,0,Unavailable,"Project: 0
Title: -
Description: -
Skills:  - 
Students Required: 1
Min CGPA: 0
Max CGPA: 0

",No
